Stories,FinSqft,Bedrms,Baths,LotSize,SaleDate,month,SalePrice,Ald,Age,FullBase,Attic,FIREPLACE,AIR_CONDITIONING,Garage,X,Y
1,1560,4,1.5,4680,2012,4,61000,1,76,1,1,0,0,1,2551959.604,405664.0175
1,1538,3,1.5,7100,2012,6,85900,1,65,1,1,1,1,1,2543592.804,416385.2434
1,1359,3,1,5040,2012,7,87500,1,72,0,1,0,1,1,2553561.415,412893.5885
1,1339,3,2.5,5000,2012,3,89900,1,70,1,1,0,1,1,2551449.065,408569.1
1,1213,3,1,5125,2012,9,64500,1,61,1,1,0,1,1,2541430.478,412143.3766
1,1206,3,1,5880,2012,1,35000,1,72,1,1,0,1,1,2547222.124,412509.5651
1,1062,3,1.5,7560,2012,4,74700,1,71,1,1,0,0,1,2552115.197,410277.9035
1,1033,3,1,5320,2012,4,71000,1,67,1,1,0,0,1,2552460.148,404941.9267
2,1664,3,2.5,7800,2012,10,127500,1,63,1,0,1,1,1,2553976.403,414520.8109
2,1237,4,1.5,5542,2012,2,73027,1,42,1,0,0,0,1,2549400.046,405251.3061
2,2770,6,2.5,5289,2012,8,70000,1,81,1,0,0,1,1,2553271.104,405564.4777
1.5,1624,3,3,3600,2012,12,58000,1,88,1,0,0,1,1,2545879.01,414262.84
1.5,1779,4,2,3600,2012,11,32000,1,43,1,0,0,1,1,2544921.814,410690.1345
1.5,1664,4,2,5640,2012,3,62000,1,65,1,0,0,0,1,2543272.404,411461.2001
1.5,1342,4,2,9000,2012,10,48000,1,87,1,0,0,0,1,2551246.663,409597.0833
1,2036,4,2,4960,2012,6,119300,1,86,1,1,0,1,1,2552945.033,404699.5203
1,1706,4,1,4200,2012,8,80000,1,84,1,1,0,0,1,2550470.471,405777.3844
1,1507,3,1,5280,2012,11,85000,1,85,1,1,0,1,1,2552611.548,404239.6302
1,1495,4,1,4440,2012,3,59000,1,88,1,1,0,0,1,2546716.813,414353.3033
1,1426,4,1,3745,2012,12,51250,1,85,1,1,0,0,1,2549915.175,404367.367
